age,introduced,resident,radiated,dissipated,accounting_error,disturbance_introduced,disturbance_dissipated,mean_permeability,mean_coupling,organized_fraction,coupled_fraction,largest_organized_component,luminous_sites,channel_signal,channel_total,channel_fidelity,channel_balance,channel_information_bits
0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000,0.000000000,0.067453302,0.000204858,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
250,401.130443698,346.208323047,0.071412139,54.850675206,0.000033306522,15.930434948,0.000000000,0.068806048,0.000187708,0.019484747,0.000000000,0.007021949,0,0.018295398,0.055352935,0.330522641,0.995728806,0.000146553
500,801.589819398,602.065868954,0.242870027,199.281021244,0.000059172753,31.189801898,0.000000000,0.081758763,0.000172021,0.052780878,0.000000000,0.018089658,0,0.063133411,0.188754286,0.334474050,0.997418073,0.000062828
750,1201.700130596,791.174209231,0.474592130,410.051256163,0.000073071085,46.100104346,0.000000000,0.098825515,0.000157672,0.093982515,0.000000000,0.032040551,0,0.124123054,0.370242646,0.335247857,0.996895846,0.000056322
1000,1601.750892214,931.112567324,0.737918681,669.900317022,0.000089186498,60.950857214,0.000000000,0.117110856,0.000144540,0.137974330,0.000000000,0.046921503,0,0.193536163,0.577034414,0.335397957,0.996912389,0.000037375
1250,2003.296589309,1036.092240329,1.018778195,966.185467940,0.000102844264,77.296545559,0.000000000,0.134295695,0.000132522,0.182524182,0.000000000,0.062081473,0,0.267894594,0.798316063,0.335574601,0.996176685,0.000032174
1500,2403.676359103,1110.905083276,3.370185207,1289.400966241,0.000124378571,92.476306603,0.000000000,0.149980666,0.000142899,0.228748140,0.000372024,0.077799479,46,0.540919799,1.225877892,0.441250962,0.639631040,0.040629689
1750,2804.018077594,1143.177518046,32.001153153,1628.839244168,0.000162226611,107.618016344,0.000000000,0.162913362,0.000322740,0.272600446,0.004278274,0.093098958,463,6.822637241,7.817211367,0.872771238,0.376576829,0.769923776
2000,3204.514311226,1155.806863924,74.336145267,1974.371101383,0.000200651907,122.914241226,0.000000000,0.172468085,0.000503090,0.313197545,0.008045015,0.106445312,954,21.197805012,22.814200729,0.929149579,0.578241236,1.081737342
2250,3605.758888706,1163.668485501,119.319462738,2322.770726705,0.000213761484,138.958809956,0.000000000,0.179220733,0.000628045,0.348865327,0.009579613,0.118536086,1346,38.987635743,41.489893892,0.939689936,0.685509835,1.166611846
2500,4005.559790940,1167.056683513,165.690042027,2672.812815569,0.000249831452,153.559703441,0.000000000,0.183890408,0.000710325,0.377929688,0.010370164,0.127790179,1683,57.519566977,61.063204767,0.941967707,0.744885042,1.193286441
2750,4405.575253323,1168.557738552,213.417321497,3023.599929285,0.000263988873,168.375157074,0.000000000,0.187001876,0.000761964,0.400855655,0.011253720,0.271623884,1931,75.938972275,80.600845779,0.942160985,0.778595004,1.201979986
3000,4805.706347154,1168.445173784,262.604464746,3374.656440810,0.000267814101,183.306242155,0.000000000,0.189084086,0.000799713,0.415225074,0.011811756,0.413364955,2151,94.357715861,100.192683201,0.941762540,0.799571651,1.204569970
3250,5205.749644255,1166.782376124,313.515197826,3725.451788090,0.000282215879,198.149530506,0.000000000,0.190341234,0.000833969,0.414481027,0.012090774,0.411365327,2320,112.974239972,120.027227945,0.941238433,0.814000762,1.205108360
3500,5606.811790046,1165.032669688,366.060403933,4075.718418590,0.000297834196,214.011667547,0.000000000,0.191098527,0.000859294,0.409319196,0.012323289,0.405412946,2464,131.764435135,140.077262447,0.940655413,0.825146409,1.204582360
3750,6007.180670475,1161.963026738,420.043737624,4425.173584458,0.000321655510,229.180539226,0.000000000,0.191437750,0.000880987,0.403552827,0.012648810,0.400204613,2593,150.675155884,160.275452107,0.940101269,0.834249950,1.203672528
4000,6407.195562327,1158.171406184,475.402470201,4773.621346015,0.000339926213,243.995422327,0.000000000,0.191549170,0.000903518,0.400251116,0.012974330,0.397228423,2718,169.696538891,180.607817088,0.939585792,0.841288346,1.202567572
